AC/DC;High Voltage;Highway to Hell;Back in Black;For Those About to Rock We Salute You
Aerosmith;Toys in the Attic;Rocks;Get a Grip;Just Push Play
Alice in Chains;Facelift;Dirt;Alice in Chains;Jar of Flies
All Time Low;So Wrong, It's Right;Nothing Personal;Dirty Work;Future Hearts
Alter Bridge;One Day Remains;Blackbird;Walk the Sky;ABIII
American Hi-Fi;American Hi-Fi;Hallelujah;Blood and Lemonade;Fight the Fault
Apocalyptica;Inquisition Symphony;Cult;7th Symphony;Worlds Collide
Arctic Monkeys;Whatever People Say I Am, That's What I'm Not;Favourite Worst Nightmare;Humbug;Suck It and See
Avenged Sevenfold;Sounding the Seventh Trumpet;Waking the Fallen;City of Evil;Avenged Sevenfold;Nightmare;Hail to the King;The Stage
Bad Religion;Suffer;No Control;Generator;Stranger Than Fiction
Barenaked Ladies;Gordon;Stunt;Maroon;Everything to Everyone
Beastie Boys;Licensed to Ill;Paul's Boutique;Check Your Head;Hello Nasty
Beck;Odelay;Mutations;Sea Change;Guero
Beartooth;Disgusting;Aggressive;Disease
Billy Talent;Billy Talent I;Billy Talent II;Billy Talent III;Afraid of Heights
Black Crowes;Shake Your Money Maker;The Southern Harmony and Musical Companion;Amorica;Three Snakes and One Charm
Black Flag;Damaged;My War;Family Man;In My Head
Black Keys;The Big Come Up;Rubber Factory;Chulahoma;Attack & Release
Black Sabbath;Black Sabbath;Paranoid;Master of Reality;Vol. 4
Black Stone Cherry;Black Stone Cherry;Folklore and Superstition;Between the Devil & the Deep Blue Sea;Thanx 4 Nuthin'
Blink-182;Cheshire Cat;Dude Ranch;Enema of the State;Take Off Your Pants and Jacket
Blue Öyster Cult;Tyranny and Mutation;Agents of Fortune;Spectres;Fire of Unknown Origin
Blur;Leisure;Modern Life is Rubbish;Parklife;The Great Escape
Bon Jovi;Bon Jovi;Slippery When Wet;New Jersey;Keep the Faith
Breaking Benjamin;Saturate;We Are Not Alone;Phobia;Dear Agony
Bring Me The Horizon;Count Your Blessings;Suicide Season;There Is a Hell...;Sempiternal
Bullet For My Valentine;The Poison;Scream Aim Fire;Fever;Venom
Bush;Sixteen Stone;Razorblade Suitcase;Golden State;The Science of Things
Cake;Motorcade of Generosity;Fashion Nugget;Pressure Chief;Comfort Eagle
Cage The Elephant;Cage the Elephant;Thank You, Happy Birthday;Melophobia;Tell Me I'm Pretty
Chevelle;Point #1;This Type of Thinking (Could Do Us In);Sci-Fi Crimes;Vena Sera
Cheap Trick;Cheap Trick;In Color;Heaven Tonight;Dream Police
Coheed and Cambria;The Second Stage Turbine Blade;In Keeping Secrets of Silent Earth: 3;Good Apollo, I'm Burning Star IV, Volume One: From Fear Through the Eyes of Madness;Year of the Black Rainbow
Coldplay;Parachutes;A Rush of Blood to the Head;X&Y;Viva la Vida or Death and All His Friends
Collective Soul;Hints, Allegations and Things Left Unsaid;Collective Soul;Disciplined Breakdown;Needs
Counting Crows;August and Everything After;Recovering the Satellites;This Desert Life;Hard Candy
Creed;My Own Prison;Human Clay;Weathered;Full Circle
Crossfade;Crossfade;Cold;We All Bleed
Danzig;Danzig;Lucifuge;How the Gods Kill;Black Laden Crown
Dashboard Confessional;The Swiss Army Romance;The Places You Have Come to Fear the Most;A Mark, a Mission, a Brand, a Scar;Dusk and Summer
Dave Matthews Band;Under the Table and Dreaming;Crash;Before These Crowded Streets;Big Whiskey & the GrooGrux King
Deep Purple;Machine Head;Who Do We Think We Are;Perfect Strangers;The Battle Rages On
Deftones;Adrenaline;Around the Fur;White Pony;Saturday Night Wrist
Dire Straits;Dire Straits;Making Movies;Communiqué;Love Over Gold
Disturbed;The Sickness;Believe;Ten Thousand Fists;Indestructible
Dream Theater;Images and Words;Awake;Falling into Infinity;Six Degrees of Inner Turbulence
Echo & the Bunnymen;Crocodiles;Heaven Up Here;Porcupine;Ocean Rain
Eagles;Eagles;Desperado;On the Border;Hotel California
Electric Light Orchestra;ELO 2;Eldorado;Face the Music;Discovery
Everclear;World of Noise;Sparkle and Fade;Songs from an American Movie Vol. One: Learning How to Smile;Slow Motion Daydream
Fall Out Boy;Take This to Your Grave;From Under the Cork Tree;Infinity on High;Folie à Deux
Fear Factory;Soul of a New Machine;Demanufacture;Obsolete;Digimortal
Feeder;Swim;Yesterday Went Too Soon;Pushing the Senses;Comfort in Sound
Filter;Short Bus;Title of Record;The Altrnative;Monuments for the Future
Finger Eleven;Letter from Chutney;The Greyest of Blue Skies;Them vs. You vs. Me;Life Turns Electric
Five Finger Death Punch;The Way of the Fist;War Is the Answer;American Capitalist;Got Your Six
Fleetwood Mac;Fleetwood Mac;Rumours;Tusk;Mirage
Foo Fighters;Foo Fighters;The Colour and the Shape;There Is Nothing Left to Lose;One by One
Foreigner;Foreigner;Double Vision;Head Games;Agent Provocateur
Franz Ferdinand;Franz Ferdinand;You Could Have It So Much Better;Right Thoughts, Right Words, Right Action;Tonight: Franz Ferdinand
Fuel;Sunburn;Something Like Human;Angels & Devils;Something Like Human
Garbage;Garbage;Version 2.0;BeautifulGarbage;Bleed Like Me
Genesis;Nursery Cryme;Foxtrot;Selling England by the Pound;The Lamb Lies Down on Broadway
Ghost;Opus Eponymous;Infestissumam;Meliora;Prequelle
Goo Goo Dolls;Goo Goo Dolls;Hold Me Up;Dizzy Up the Girl;Let Love In
Good Charlotte;The Young and the Hopeless;The Chronicles of Life and Death;Good Morning Revival;Youth Authority
Green Day;Dookie;Insomniac;Nimrod;American Idiot
Guns N' Roses;Appetite for Destruction;GN'R Lies;Use Your Illusion I;Use Your Illusion II
Halestorm;Halestorm;The Strange Case Of...;Into the Wild Life;Vicious
Heart;Dreamboat Annie;Little Queen;Bebe Le Strange;Bad Animals
Helmet;Strap It On;Meantime;Betty;Aftertaste
Hole;Pretty on the Inside;Live Through This;Celebrity Skin;Nobody's Daughter
Hootie & the Blowfish;Cracked Rear View;Fairweather Johnson;Musical Chairs;Scattered, Smothered & Covered
Hinder;Extreme Behavior;Take It to the Limit;Welcome to the Freakshow;All American Nightmare
Incubus;S.C.I.E.N.C.E.;Make Yourself;Morning View;Light Grenades
Iron Maiden;The Number of the Beast;Piece of Mind;Powerslave;Somewhere in Time
Jack's Mannequin;Everything in Transit;The Glass Passenger;People and Things
Jane's Addiction;Jane's Addiction;Ritual de lo Habitual;Strays;Kettle Whistle
Jet;Get Born;Shine On;Shift
Joy Division;Unknown Pleasures;Closer
Judas Priest;British Steel;Screaming for Vengeance;Defenders of the Faith;Turbo
Kaiser Chiefs;Employment;Yours Truly, Angry Mob;Education, Education, Education & War
Kansas;Kansas;Song for America;Leftoverture;Point of Know Return
Kasabian;Kasabian;Empire;Velociraptor!;48:13
Killswitch Engage;Alive or Just Breathing;The End of Heartache;As Daylight Dies;Disarm the Descent
King Crimson;In the Court of the Crimson King;In the Wake of Poseidon;Larks' Tongues in Aspic;Red
Kings of Leon;Youth & Young Manhood;Aha Shake Heartbreak;Only by the Night;Come Around Sundown
Korn;Korn;Follow the Leader;Issues;Untouchables
L7;Smell the Magic;Bricks Are Heavy;Hungry for Stink
Led Zeppelin;Led Zeppelin;Led Zeppelin II;Led Zeppelin III;Led Zeppelin IV
Linkin Park;Hybrid Theory;Meteora;Minutes to Midnight;A Thousand Suns
Living Colour;Vivid;Time's Up;Stain;Collideøscope
Ludo;You're Awful, I Love You;You Fool!;You Haters Are All the Same;Broken Bride
Lynyrd Skynyrd;Pronounced Leh-Nerd Skin-Nerd;Second Helping;Nuthin' Fancy;One More from the Road
Machine Head;Burn My Eyes;The More Things Change;The Blackening;Unto the Locust
Marilyn Manson;Portrait of an American Family;Antichrist Superstar;Mechanical Animals;Holy Wood (In the Shadow of the Valley of Death)
Maroon 5;Songs About Jane;It Won't Be Soon Before Long;Hands All Over;Overexposed
Mastodon;Remission;Leviathan;Blood Mountain;Cracker
Matchbox Twenty;Yourself or Someone Like You;Mad Season;More Than You Think You Are;North
Megadeth;Killing Is My Business...And Business Is Good!;Peace Sells...But Who's Buying?;Rust in Peace;Countdown to Extinction
Metallica;Kill 'Em All;Ride the Lightning;Master of Puppets;...And Justice for All
Metric;Old World Underground, Where Are You Now?;Fantasies;Synthetica;Pagans in Vegas
MGMT;Oracular Spectacular;Congratulations;MGMT
Modest Mouse;This Is a Long Drive for Someone with Nothing to Think About;The Lonesome Crowded West;The Moon & Antarctica;Good News for People Who Love Bad News
Monster Magnet;Spine of God;Dopes to Infinity;Powertrip;God Says No
Moon Taxi;Cabaret;Melodica;Daybreaker
Motley Crue;Too Fast for Love;Shout at the Devil;Theatre of Pain;Dr. Feelgood
Muse;Showbiz;Origin of Symmetry;Absolution;Black Holes & Revelations
My Chemical Romance;I Brought You My Bullets, You Brought Me Your Love;Three Cheers for Sweet Revenge;The Black Parade;Danger Days: The True Lives of the Fabulous Killjoys
New Found Glory;Nothing Gold Can Stay;Catalyst;Resurrection
Nickelback;Curb;The Long Road;Silver Side Up;All The Right Reasons
Nine Inch Nails;Pretty Hate Machine;The Downward Spiral;The Fragile;With Teeth
Nirvana;Bleach;Nevermind;In Utero;MTV Unplugged in New York
Oasis;Definitely Maybe;(What's the Story) Morning Glory?;Be Here Now;Standing on the Shoulder of Giants
Of Mice & Men;Of Mice & Men;The Flood;Restoring Force
Opeth;Orchid;Blackwater Park;Deliverance;Ghost Reveries
Our Lady Peace;Naveed;Clumsy;Spiritual Machines
Panic! At The Disco;A Fever You Can't Sweat Out;Pretty. Odd.;Vices & Virtues;Too Weird to Live, Too Rare to Die!
Papa Roach;Infest;Getting Away With Murder;Lovehatetragedy;Metamorphosis
Paramore;All We Know Is Falling;Riot!;Brand New Eyes;Paramore
Pearl Jam;Ten;Vs.;Vitalogy;No Code
Phish;Junta;Lawn Boy;A Picture of Nectar;Rift
Phoenix;United;Alphabetical;Wolfgang Amadeus Phoenix
Pink Floyd;The Piper at the Gates of Dawn;A Saucerful of Secrets;Meddle;The Dark Side of the Moon
Pixies;Surfer Rosa;Doolittle;Bossanova;Trompe Le Monde
Placebo;Placebo;Without You I'm Nothing;Black Market Music
Poison;Look What the Cat Dragged In;Open Up and Say... Ahh!;Flesh & Blood;Crack a Smile...And More!
Puddle of Mudd;Come Clean;Life on Display;Vol.4: Songs in the Key of Love & Hate
Queen;Queen;Queen II;Sheer Heart Attack;A Night at the Opera
Queens of the Stone Age;Queens of the Stone Age;Rated R;Songs for the Deaf;Lullabies to Paralyze
Radiohead;Pablo Honey;The Bends;OK Computer;Kid A
Rage Against the Machine;Rage Against the Machine;Evil Empire;The Battle of Los Angeles;Renegades
Ramones;Ramones;Leave Home;Rocket to Russia;Road to Ruin
Rancid;...And Out Come the Wolves;Life Won't Wait;Indestructible
Red Hot Chili Peppers;The Red Hot Chili Peppers;Freaky Styley;Mother's Milk;Blood Sugar Sex Magik
Rise Against;The Unraveling;Revolutions per Minute;Siren Song of the Counter Culture;Appeal to Reason
Rob Zombie;Hellbilly Deluxe;American Made Music to Strip By;Educated Horses
Rolling Stones;Sticky Fingers;Exile on Main St.;Tattoo You;Steel Wheels
Royal Blood;Royal Blood;How Did We Get So Dark?;Typhoons
Rush;Moving Pictures;2112;Permanent Waves;Hemispheres
Saosin;Translating the Name;Saosin;In Search of Solid Ground;Along the Shadow
Scorpions;Blackout;Love at First Sting;Crazy World;Animal Magnetism
Seether;Disclaimer;Karma and Effect;Finding Beauty in Negative Spaces;Isolate and Medicate
Shinedown;Leave a Whisper;Us and Them;The Sound of Madness;Amaryllis
Silverchair;Frogstomp;Freak Show;Neon Ballroom;Diorama
Simple Plan;No Pads, No Helmets...Just Balls;Still Not Getting Any...;Simple Plan;Taking One for the Team
Skillet;Collide;Comatose;Awake;Rise
Slipknot;Slipknot;Iowa;Vol. 3: (The Subliminal Verses);All Hope Is Gone;We are not your king;
